pres16,coninc,race,hispanic
 2,2.27825000000000000e+04, 1, 1
 2,1.12160000000000000e+05, 1,25
 2,1.58201841229999991e+05, 2, 1
 1,1.31437500000000000e+04, 2, 1
 2,3.85550000000000000e+04, 1, 1
 2,7.01000000000000000e+04, 1, 1
 2,1.12160000000000000e+05, 1, 1
 1,1.48962499999999982e+04, 3, 3
 1,7.01000000000000000e+04, 1, 1
 1,5.78325000000000000e+04, 1, 1
 1,7.01000000000000000e+04, 1, 1
 1,4.73175000000000000e+04, 1, 1
 2,5.78325000000000000e+04, 1, 1
 2,2.62875000000000000e+04, 1, 1
 1,7.88624999999999909e+03, 2, 1
 1,8.41200000000000000e+04, 1, 1
 2,9.81400000000000000e+04, 1, 1
 1,7.01000000000000000e+04, 1, 1
 1,3.15449999999999964e+04, 1, 1
 1,9.63875000000000000e+03, 1, 1
 1,3.15449999999999964e+04, 1, 1
 1,5.78325000000000000e+04, 1, 1
 1,2.27825000000000000e+04, 1,23
 1,1.58201841229999991e+05, 1,21
 2,8.41200000000000000e+04, 1, 1
 1,7.01000000000000000e+04, 1, 1
 1,1.92775000000000000e+04, 1, 5
 2,1.58201841229999991e+05, 1, 1
 2,9.81400000000000000e+04, 1, 1
 1,8.41200000000000000e+04, 1,15
 1,2.62875000000000000e+04, 2, 1
 1,3.85550000000000000e+04, 2, 1
 1,2.62875000000000000e+04, 2, 1
 1,1.48962499999999982e+04, 2, 1
 1,1.12160000000000000e+05, 2, 1
 1,9.81400000000000000e+04, 2, 9
 1,6.30900000000000000e+03, 1, 3
 1,1.58201841229999991e+05, 1, 1
 1,1.58201841229999991e+05, 2, 1
 1,7.01000000000000000e+04, 2, 1
 1,9.81400000000000000e+04, 2, 1
 1,4.73175000000000000e+04, 1, 1
 1,3.15449999999999964e+04, 1,21
 1,3.85550000000000000e+04, 2, 1
 1,2.62875000000000000e+04, 3,15
 1,1.58201841229999991e+05, 1, 1
 1,7.01000000000000000e+04, 1, 1
 3,6.30900000000000000e+03, 3, 1
 1,7.01000000000000000e+04, 1, 1
 1,8.41200000000000000e+04, 1, 1
 1,7.01000000000000000e+04, 2, 1
 1,7.01000000000000000e+04, 2, 1
 1,9.81400000000000000e+04, 2, 1
 1,1.58201841229999991e+05, 3, 3
 2,7.01000000000000000e+04, 1, 1
 1,4.73175000000000000e+04, 1, 1
 2,7.01000000000000000e+04, 1, 1
 2,1.12160000000000000e+05, 1, 1
 1,1.12160000000000000e+05, 1, 1
 1,7.01000000000000000e+04, 1, 1
 1,7.88624999999999909e+03, 1, 1
 1,1.58201841229999991e+05, 1, 1
 2,1.58201841229999991e+05, 1, 1
 1,5.78325000000000000e+04, 2, 1
 1,3.85550000000000000e+04, 1, 1
 2,3.15449999999999964e+04, 1, 1
 1,4.73175000000000000e+04, 1, 1
 1,5.78325000000000000e+04, 1, 1
 1,2.27825000000000000e+04, 1, 1
 1,7.01000000000000000e+04, 3, 1
 2,5.78325000000000000e+04, 1, 1
 1,9.81400000000000000e+04, 1,15
 1,1.12160000000000000e+05, 1, 1
 1,1.58201841229999991e+05, 1, 1
 1,1.58201841229999991e+05, 1, 1
 2,7.01000000000000000e+04, 1, 1
 1,1.66487500000000000e+04, 1, 1
 1,4.73175000000000000e+04, 3, 2
 1,9.63875000000000000e+03, 2, 2
 1,7.01000000000000000e+04, 1,30
 1,3.15450000000000000e+03, 2, 1
 1,3.15450000000000000e+03, 2, 1
 1,1.92775000000000000e+04, 1, 2
 2,3.15449999999999964e+04, 1,30
 1,1.58201841229999991e+05, 1, 1
 1,1.58201841229999991e+05, 1, 1
 2,9.81400000000000000e+04, 1, 1
 1,5.78325000000000000e+04, 3, 1
 1,9.81400000000000000e+04, 1, 3
 1,5.78325000000000000e+04, 1,41
 1,1.12160000000000000e+05, 1, 1
 1,8.41200000000000000e+04, 3, 1
 4,8.41200000000000000e+04, 3, 1
