pres08,coninc,race,hispanic
 1,1.30487500000000000e+04, 1, 1
 1,1.70637500000000000e+04, 2,11
 1,7.22700000000000000e+03, 1, 3
 1,9.03375000000000000e+03, 2, 1
 1,1.70637500000000000e+04, 2, 1
 1,4.41650000000000000e+04, 2, 1
 1,8.03000000000000000e+04, 2, 1
 1,1.90712500000000000e+04, 3, 3
 2,1.30487500000000000e+04, 1, 1
 1,1.10412500000000000e+04, 1, 1
 1,5.42025000000000000e+04, 3,21
 1,6.62475000000000000e+04, 1, 1
 1,8.03000000000000000e+04, 1, 1
 4,1.52927230609999999e+05, 1, 2
 1,4.41650000000000000e+03, 3, 1
 1,5.42025000000000000e+04, 1, 1
 1,1.52927230609999999e+05, 1, 1
 1,1.12420000000000000e+05, 1, 3
 1,4.41650000000000000e+04, 1, 1
 1,5.42025000000000000e+04, 1, 1
 1,1.52927230609999999e+05, 1, 1
 1,1.50562500000000000e+04, 1, 1
 1,5.42025000000000000e+04, 3, 1
 1,6.62475000000000000e+04, 3, 2
 1,6.62475000000000000e+04, 1, 3
 1,2.20825000000000000e+04, 2, 1
 2,5.42025000000000000e+04, 1, 1
 2,9.63600000000000000e+04, 1, 1
 1,1.52927230609999999e+05, 1, 1
 2,9.63600000000000000e+04, 1, 1
 2,1.10412500000000000e+04, 1, 1
 2,8.03000000000000000e+04, 2, 1
 1,2.60975000000000000e+04, 1, 1
 2,8.03000000000000000e+04, 1, 1
 2,4.41650000000000000e+04, 1, 1
 2,1.12420000000000000e+05, 1, 1
 1,1.52927230609999999e+05, 1, 1
 2,1.12420000000000000e+05, 1, 1
 2,5.42025000000000000e+04, 1, 1
 1,9.63600000000000000e+04, 1, 1
 1,1.52927230609999999e+05, 1, 1
 2,6.62475000000000000e+04, 1, 1
 1,5.42025000000000000e+04, 1, 1
 1,9.03375000000000000e+03, 2, 1
 1,9.63600000000000000e+04, 1, 1
 1,8.03000000000000000e+04, 1, 1
 1,1.30487500000000000e+04, 1,21
 2,5.42025000000000000e+04, 1, 1
 1,1.12420000000000000e+05, 2, 1
 2,6.62475000000000000e+04, 1, 1
 1,5.42025000000000000e+04, 1, 1
 2,5.42025000000000000e+04, 1, 1
 1,1.12420000000000000e+05, 1, 1
 1,1.52927230609999999e+05, 1, 1
 1,1.52927230609999999e+05, 1, 1
 1,1.52927230609999999e+05, 1, 1
 2,8.03000000000000000e+04, 1, 1
 2,8.03000000000000000e+04, 1, 1
 2,5.42025000000000000e+04, 1,30
 2,5.42025000000000000e+04, 1, 1
 1,1.70637500000000000e+04, 3, 2
 1,8.03000000000000000e+04, 1, 1
 1,5.42025000000000000e+04, 1, 1
 2,8.03000000000000000e+04, 1, 1
 1,3.01125000000000000e+04, 1, 2
 1,1.52927230609999999e+05, 1, 1
 1,4.41650000000000000e+04, 1, 2
 1,1.70637500000000000e+04, 1, 1
